model,tool,iter,loglike
bottleneck,c,0,0.0
bottleneck,c,1,-929976.030755
bottleneck,c,2,-929704.15338
bottleneck,c,3,-929522.16781
bottleneck,c,4,-929385.778534
bottleneck,c,5,-929280.216631
bottleneck,c,6,-929196.977101
bottleneck,c,7,-929130.437339
bottleneck,c,8,-929076.659684
bottleneck,c,9,-929032.791385
bottleneck,c,10,-928996.715916
bottleneck,c,11,-928966.834751
bottleneck,c,12,-928941.92338
bottleneck,c,13,-928921.034346
bottleneck,c,14,-928903.426907
bottleneck,c,15,-928888.515154
bottleneck,c,16,-928875.833462
bottleneck,c,17,-928865.008356
bottleneck,c,18,-928855.737215
bottleneck,c,19,-928847.772807
bottleneck,c,20,-928840.911523
bottleneck,rust,1,-929976.0307551961
bottleneck,rust,2,-929705.0661614852
bottleneck,rust,3,-929523.327136388
bottleneck,rust,4,-929388.4080471927
bottleneck,rust,5,-929281.9570080023
bottleneck,rust,6,-929198.2925859144
bottleneck,rust,7,-929130.8911870881
bottleneck,rust,8,-929076.4063884381
bottleneck,rust,9,-929032.3594168636
bottleneck,rust,10,-928996.2910673376
bottleneck,rust,11,-928966.1178567722
bottleneck,rust,12,-928941.1585654697
bottleneck,rust,13,-928920.3095390503
bottleneck,rust,14,-928902.711310247
bottleneck,rust,15,-928887.8030769326
bottleneck,rust,16,-928875.1315830718
bottleneck,rust,17,-928864.3471454718
bottleneck,rust,18,-928855.1107633534
bottleneck,rust,19,-928847.1941964098
bottleneck,rust,20,-928840.3863683953
constant,c,0,0.0
constant,c,1,-1427271.458526
constant,c,2,-1427008.770341
constant,c,3,-1426804.245393
constant,c,4,-1426638.615667
constant,c,5,-1426502.554301
constant,c,6,-1426389.814153
constant,c,7,-1426295.786769
constant,c,8,-1426216.941804
constant,c,9,-1426150.516877
constant,c,10,-1426094.322709
constant,c,11,-1426046.605189
constant,c,12,-1426005.949637
constant,c,13,-1425971.204575
constant,c,14,-1425941.4281
constant,c,15,-1425915.845494
constant,c,16,-1425893.814848
constant,c,17,-1425874.802979
constant,c,18,-1425858.363929
constant,c,19,-1425844.123291
constant,c,20,-1425831.767023
constant,rust,1,-1427271.4585264483
constant,rust,2,-1427008.741104996
constant,rust,3,-1426804.2329888018
constant,rust,4,-1426638.6158685077
constant,rust,5,-1426502.4897570112
constant,rust,6,-1426389.742992834
constant,rust,7,-1426295.691251839
constant,rust,8,-1426216.8411025766
constant,rust,9,-1426150.48405001
constant,rust,10,-1426094.302478841
constant,rust,11,-1426046.5829580831
constant,rust,12,-1426005.9205275993
constant,rust,13,-1425971.169667503
constant,rust,14,-1425941.4231000447
constant,rust,15,-1425915.8314040026
constant,rust,16,-1425893.7972607652
constant,rust,17,-1425874.7957731038
constant,rust,18,-1425858.3601383637
constant,rust,19,-1425844.1181793043
constant,rust,20,-1425831.7554618088
expansion,c,0,0.0
expansion,c,1,-584990.552728
expansion,c,2,-582530.433464
expansion,c,3,-581967.331993
expansion,c,4,-581722.981547
expansion,c,5,-581570.984748
expansion,c,6,-581465.010318
expansion,c,7,-581388.755511
expansion,c,8,-581333.207228
expansion,c,9,-581292.335206
expansion,c,10,-581261.915079
expansion,c,11,-581238.989461
expansion,c,12,-581221.494777
expansion,c,13,-581207.99033
expansion,c,14,-581197.458729
expansion,c,15,-581189.173252
expansion,c,16,-581182.604688
expansion,c,17,-581177.362673
expansion,c,18,-581173.154733
expansion,c,19,-581169.758811
expansion,c,20,-581167.004891
expansion,rust,1,-584990.5527276184
expansion,rust,2,-582531.5525253194
expansion,rust,3,-581969.0577415216
expansion,rust,4,-581724.3454319787
expansion,rust,5,-581571.7211251431
expansion,rust,6,-581465.1892673743
expansion,rust,7,-581388.5784834871
expansion,rust,8,-581333.160106519
expansion,rust,9,-581292.4098860624
expansion,rust,10,-581261.960702142
expansion,rust,11,-581238.9784501301
expansion,rust,12,-581221.5257273538
expansion,rust,13,-581208.0248999277
expansion,rust,14,-581197.5041396223
expansion,rust,15,-581189.2280985872
expansion,rust,16,-581182.6605199552
expansion,rust,17,-581177.4138535964
expansion,rust,18,-581173.2038313684
expansion,rust,19,-581169.8037137622
expansion,rust,20,-581167.0541303031
zigzag,c,0,0.0
zigzag,c,1,-983785.220579
zigzag,c,2,-983044.345019
zigzag,c,3,-982781.402746
zigzag,c,4,-982637.344217
zigzag,c,5,-982536.555819
zigzag,c,6,-982458.249626
zigzag,c,7,-982394.673259
zigzag,c,8,-982341.9692
zigzag,c,9,-982297.751065
zigzag,c,10,-982260.341417
zigzag,c,11,-982228.481346
zigzag,c,12,-982201.193444
zigzag,c,13,-982177.704074
zigzag,c,14,-982157.395131
zigzag,c,15,-982139.765882
zigzag,c,16,-982124.407023
zigzag,c,17,-982110.982924
zigzag,c,18,-982099.215105
zigzag,c,19,-982088.871359
zigzag,c,20,-982079.757629
zigzag,rust,1,-983785.2205787738
zigzag,rust,2,-983044.4182403527
zigzag,rust,3,-982781.46211408
zigzag,rust,4,-982637.3052793895
zigzag,rust,5,-982536.3987148362
zigzag,rust,6,-982458.1174554899
zigzag,rust,7,-982394.5616897759
zigzag,rust,8,-982341.8672369361
zigzag,rust,9,-982297.6690980311
zigzag,rust,10,-982260.2714010243
zigzag,rust,11,-982228.4192035091
zigzag,rust,12,-982201.1396123555
zigzag,rust,13,-982177.6596312209
zigzag,rust,14,-982157.3586088544
zigzag,rust,15,-982139.7359221327
zigzag,rust,16,-982124.3829146795
zigzag,rust,17,-982110.9647199758
zigzag,rust,18,-982099.2036099543
zigzag,rust,19,-982088.8654224608
zigzag,rust,20,-982079.7564415614
