x_years	ne_main	ne_q025	ne_q500	ne_q975
2.26582301e3	1.03795775e3	9.14737496e2	1.00273976e3	1.14590162e3
4.71663516e3	1.03795775e3	9.14737496e2	1.00273976e3	1.14590162e3
7.36753956e3	1.03795775e3	9.14737496e2	1.00273976e3	1.14590162e3
1.02348724e4	2.52047882e3	1.25326354e3	2.54322878e3	3.05869941e3
1.33363036e4	2.52047882e3	2.13859426e3	2.55741742e3	3.05869941e3
1.66909457e4	3.74212930e3	2.79421499e3	4.01336010e3	4.48274022e3
2.03194716e4	3.74212930e3	3.51223397e3	4.01745511e3	4.48274022e3
2.42442422e4	4.05235302e3	3.72787296e3	4.17898341e3	4.51722026e3
2.84894437e4	4.05235302e3	3.79307426e3	4.18833810e3	4.51722026e3
3.30812373e4	4.64213838e3	4.22598074e3	4.54915035e3	4.93242496e3
3.80479198e4	4.64213838e3	4.27686333e3	4.55352643e3	4.93242496e3
4.34200983e4	6.49326073e3	4.87948676e3	6.18847091e3	6.69829066e3
4.92308789e4	6.49326073e3	5.79982748e3	6.19476606e3	6.69829066e3
5.55160705e4	1.05771313e4	6.99889761e3	1.01995128e4	1.08360888e4
6.23144056e4	1.05771313e4	9.53502322e3	1.02195687e4	1.08360888e4
6.96677787e4	1.64299119e4	1.14196226e4	1.64141522e4	1.76894217e4
7.76215051e4	1.64299119e4	1.53938398e4	1.65034296e4	1.76894217e4
8.62245994e4	2.04318785e4	1.97839614e4	2.09944686e4	2.23854948e4
9.55300783e4	2.04318785e4	1.99664788e4	2.10492142e4	2.23854948e4
1.05595287e5	1.95421854e4	1.95429387e4	2.04468572e4	2.13678683e4
1.16482251e5	1.95421854e4	1.95429387e4	2.04468572e4	2.12266341e4
1.28258063e5	1.51268276e4	1.53983674e4	1.58177909e4	1.62356593e4
1.40995290e5	1.51268276e4	1.53983674e4	1.58177909e4	1.62356593e4
1.54772426e5	1.05915002e4	1.07181791e4	1.09159917e4	1.11884155e4
1.69674372e5	1.05915002e4	1.07181791e4	1.09159917e4	1.11884155e4
1.85792960e5	7.44398969e3	7.42739885e3	7.55800485e3	7.70306033e3
2.03227523e5	7.44398969e3	7.42739885e3	7.55800485e3	7.70306033e3
2.22085500e5	5.66067869e3	5.59903491e3	5.68896328e3	5.76592277e3
2.42483103e5	5.66067869e3	5.59903491e3	5.68896328e3	5.76592277e3
2.64546033e5	4.78800998e3	4.72481586e3	4.78713066e3	4.84316591e3
2.88410252e5	4.78800998e3	4.72481586e3	4.78713066e3	4.84316591e3
3.14222823e5	4.46145789e3	4.40730169e3	4.46191568e3	4.52860882e3
3.42142817e5	4.46145789e3	4.40730169e3	4.46191568e3	4.52860882e3
3.72342289e5	4.44127277e3	4.38796317e3	4.44619485e3	4.52103238e3
4.05007343e5	4.44127277e3	4.38796317e3	4.44619485e3	4.52103238e3
4.40339279e5	4.57905826e3	4.51224071e3	4.58015630e3	4.66726023e3
4.78555829e5	4.57905826e3	4.51224071e3	4.58015630e3	4.66726023e3
5.19892501e5	4.82461243e3	4.74868950e3	4.81267914e3	4.90254118e3
5.64604034e5	4.82461243e3	4.74868950e3	4.81267914e3	4.90254118e3
6.12965961e5	5.18271240e3	5.08696825e3	5.16566684e3	5.28464810e3
6.65276312e5	5.18271240e3	5.08696825e3	5.16566684e3	5.28464810e3
7.21857451e5	5.68291941e3	5.56591969e3	5.68529332e3	5.82784832e3
7.83058057e5	5.68291941e3	5.56591969e3	5.68529332e3	5.82784832e3
8.49255278e5	6.30397098e3	6.18697133e3	6.34124280e3	6.52571644e3
9.20857056e5	6.30397098e3	6.18697133e3	6.34124280e3	6.52571644e3
9.98304635e5	6.98566975e3	6.56635120e3	7.06998772e3	7.29982115e3
1.08207529e6	6.98566975e3	6.90192678e3	7.08843717e3	7.30463700e3
1.17268524e6	7.60808169e3	7.33982333e3	7.73108375e3	7.99507553e3
1.27069289e6	7.60808169e3	7.58148095e3	7.77797918e3	8.01500476e3
1.37670220e6	7.95802011e3	7.94909562e3	8.12532768e3	8.38236426e3
1.49136646e6	7.95802011e3	7.94909562e3	8.14811593e3	8.40797797e3
1.61539227e6	7.88152772e3	7.85802819e3	8.08650713e3	8.38264068e3
1.74954396e6	7.88152772e3	7.85802819e3	8.08650713e3	8.32752795e3
1.89464823e6	7.24546825e3	7.15783923e3	7.36644240e3	8.31607960e3
2.05159927e6	7.24546825e3	7.15783923e3	7.36644240e3	7.61702126e3
2.22136431e6	7.24546825e3	7.15783923e3	7.36644240e3	7.61702126e3
2.40498952e6	7.24546825e3	7.15783923e3	7.36644240e3	7.61702126e3
2.60360649e6	6.15992039e3	5.96850153e3	6.15074354e3	7.61702126e3
2.81843919e6	6.15992039e3	5.96850153e3	6.14687552e3	6.34853918e3
3.05081152e6	6.15992039e3	5.96850153e3	6.14687552e3	6.34853918e3
3.30215549e6	6.15992039e3	5.96850153e3	6.14687552e3	6.34853918e3
3.57401999e6	6.15992039e3	5.96850153e3	6.14687552e3	6.34853918e3
3.86808040e6	6.15992039e3	5.96850153e3	6.14687552e3	6.34853918e3
